S.No.,State/UT,Total CHCs 2005,Govt Building 2005,Rented Building 2005,Rent Free Panchayat/Vol Society Building 2005,Total CHCs 2023,Govt Building 2023,Rented Building 2023,Rent Free Panchayat/Vol Society Building 2023
1,Andhra Pradesh,164,164,0,0,138,138,0,0
2,Arunachal Pradesh,31,0,0,0,56,56,0,0
3,Assam,100,100,0,0,176,176,0,0
4,Bihar,101,0,0,0,274,274,0,0
5,Chhattisgarh,116,116,0,0,166,165,0,1
6,Goa,5,5,0,0,1,1,0,0
7,Gujarat,272,225,0,47,350,330,0,20
8,Haryana,72,72,0,0,100,97,0,3
9,Himachal Pradesh,66,65,0,1,98,94,2,2
10,Jharkhand,47,0,0,0,188,188,0,0
11,Karnataka,254,207,0,47,182,182,0,0
12,Kerala,106,105,0,1,211,211,0,0
13,Madhya Pradesh,229,229,0,0,332,328,1,3
14,Maharashtra,382,290,5,87,261,261,0,0
15,Manipur,16,0,0,0,8,8,0,0
16,Meghalaya,24,24,0,0,28,28,0,0
17,Mizoram,9,9,0,0,9,9,0,0
18,Nagaland,21,21,0,0,8,8,0,0
19,Odisha,231,231,0,0,330,330,0,0
20,Punjab,116,115,0,1,84,84,0,0
21,Rajasthan,326,256,0,70,650,606,4,40
22,Sikkim,4,4,0,0,2,2,0,0
23,Tamil Nadu,35,35,0,0,385,385,0,0
24,Telangana,0,0,0,0,29,29,0,0
25,Tripura,10,10,0,0,18,18,0,0
26,Uttarakhand,44,44,0,0,49,47,1,1
27,Uttar Pradesh,386,386,0,0,939,939,0,0
28,West Bengal,95,95,0,0,347,347,0,0
29,A& N Islands,4,4,0,0,4,4,0,0
30,Chandigarh,1,1,0,0,0,0,0,0
31,D & N Haveli,1,1,0,0,3,3,0,0
32,Daman & Diu,1,1,0,0,,,
33,Delhi,0,0,0,0,0,0,0,0
34,Jammu & Kashmir,70,0,0,0,52,52,0,0
35,Ladakh,0,0,0,0,7,7,0,0
36,Lakshadweep,3,3,0,0,3,3,0,0
37,Puducherry,4,4,0,0,3,3,0,0
