S No.,States/Union Territory,"Name of the
District",Sub Centres Rural,Sub Centres Urban,PHCs Rural,PHCs Urban,CHCs Rural,CHCs Urban,"Sub Divisional
Hospital","District
Hospital","Medical
College"
1,"Andhra
Pradesh",Alluri Sitharama Raju,352,0,63,0,5,0,3,1,0
1,"Andhra
Pradesh",Anakapalli,468,0,45,9,5,1,1,1,0
1,"Andhra
Pradesh",Anantapur,479,0,45,26,5,2,3,0,1
1,"Andhra
Pradesh",Annamayya,419,0,47,11,7,0,3,1,0
1,"Andhra
Pradesh",Bapatla,407,0,43,12,6,2,2,0,0
1,"Andhra
Pradesh",Chittoor,504,7,48,14,6,1,3,1,0
1,"Andhra
Pradesh",EastGodavari,393,0,31,15,3,2,1,0,1
1,"Andhra
Pradesh",Eluru,537,0,60,14,5,0,3,0,1
1,"Andhra
Pradesh",Guntur,232,4,25,46,2,1,0,1,1
1,"Andhra
Pradesh",Kakinada,445,2,37,23,5,4,1,0,1
1,"Andhra
Pradesh",Konaseema,467,0,46,7,7,2,2,0,0
1,"Andhra
Pradesh",Krishna,404,0,50,13,6,0,1,0,1
1,"Andhra
Pradesh",Kurnool,461,1,35,28,5,0,2,0,1
1,"Andhra
Pradesh",Nandyal,411,2,51,16,8,3,2,0,1
1,"Andhra
Pradesh",Ntr,279,0,23,48,3,3,0,0,1
1,"Andhra
Pradesh",Palnadu,414,1,39,24,4,3,3,0,0
1,"Andhra
Pradesh","Parvathipuram
Manyam",312,0,37,5,3,0,3,1,0
1,"Andhra
Pradesh",Prakasam,592,5,64,18,5,3,2,1,1
1,"Andhra
Pradesh",Spsr Nellore,539,2,52,28,10,0,2,1,1
1,"Andhra
Pradesh",Sri Sathya Sai,420,1,41,18,6,1,3,1,0
1,"Andhra
Pradesh",Srikakulam,657,0,66,13,10,3,1,1,1
1,"Andhra
Pradesh",Tirupati,490,10,58,25,10,0,2,0,1
1,"Andhra
Pradesh",Visakhapatanam,56,2,8,63,0,3,1,0,1
1,"Andhra
Pradesh",Vizianagaram,530,1,48,18,3,2,3,0,1
1,"Andhra
Pradesh",West Godavari,378,0,32,18,3,0,4,1,0
1,"Andhra
Pradesh",Y.S.R.,424,10,81,30,6,1,2,1,1
2,"Arunachal
Pradesh",Anjaw,10,0,6,0,4,0,0,1,0
2,"Arunachal
Pradesh",Changlang,26,0,7,0,5,0,0,1,0
2,"Arunachal
Pradesh",Dibang Valley,9,0,1,0,0,0,0,1,0
2,"Arunachal
Pradesh",EastKameng,17,0,8,0,1,0,0,1,0
2,"Arunachal
Pradesh",EastSiang,17,0,8,1,1,1,0,1,0
