S.No.,State/UT,Sub Centre 2005,PHCs 2005,CHCs 2005,Sub Centre 2023,PHCs 2023,CHCs 2023
1,Andhra Pradesh,12522,1570,164,11070,1145,138
2,Arunachal Pradesh,379,85,31,390,127,56
3,Assam,5109,610,100,4692,920,176
4,Bihar,10337,1648,101,9654,1519,274
5,Chhattisgarh,3818,517,116,5138,773,166
6,Goa,172,19,5,202,21,1
7,Gujarat,7274,1070,272,9149,1483,350
8,Haryana,2433,408,72,2521,384,100
9,Himachal Pradesh,2068,439,66,2102,549,98
10,Jharkhand,4462,561,47,3863,308,188
11,Karnataka,8143,1681,254,8762,2132,182
12,Kerala,5094,911,106,4930,780,211
13,Madhya Pradesh,8874,1192,229,10258,1440,332
14,Maharashtra,10453,1780,382,10740,1906,261
15,Manipur,420,72,16,392,74,8
16,Meghalaya,401,101,24,463,122,28
17,Mizoram,366,57,9,308,57,9
18,Nagaland,394,87,21,443,128,8
19,Odisha,5927,1282,231,6598,1277,330
20,Punjab,2858,484,116,2857,397,84
21,Rajasthan,10512,1713,326,14042,2179,650
22,Sikkim,147,24,4,148,24,2
23,Tamil Nadu,8682,1380,35,8713,1419,385
24,Telangana,0,0,0,4228,594,29
25,Tripura,539,73,10,956,110,18
26,Uttarakhand,1576,225,44,1779,532,49
27,Uttar Pradesh,20521,3660,386,25723,3055,939
28,West Bengal,10356,1173,95,12506,910,347
29,A& N Islands,107,20,4,124,22,4
30,Chandigarh,13,0,1,0,0,0
31,Dadra & Nagar Haveli,38,6,1,94,12,3
32,Daman & Diu,21,3,1,0,0,0
33,Delhi,41,8,0,8,5,0
34,Jammu & Kashmir,1879,334,70,2434,890,52
35,Ladakh,0,0,0,288,32,7
36,Lakshadweep,14,4,3,9,4,3
37,Puducherry,76,39,4,55,24,3
