S.No.,State/UT,Required 2005,Sanctioned 2005,In Position 2005,Vacant 2005,Shortfall 2005,Required 2023,Sanctioned 2023,In Position 2023,Vacant 2023,Shortfall 2023
1,Andhra Pradesh,1734,1691,1437,254,297,1283,1507,1405,102,0
2,Arunachal Pradesh,116,18,18,0,98,183,125,125,0,58
3,Assam,710,0,0,0,0,1096,1327,1149,178,0
4,Bihar,1749,0,0,0,0,1793,1987,968,1019,825
5,Chhattisgarh,633,633,348,285,285,939,1290,970,320,0
6,Goa,24,26,25,1,0,22,34,33,1,0
7,Gujarat,1342,1357,870,487,472,1833,1877,1761,116,72
8,Haryana,480,391,231,160,249,484,696,365,331,119
9,Himachal Pradesh,505,505,462,43,43,647,315,132,183,515
10,Jharkhand,608,0,0,0,0,496,582,377,205,119
11,Karnataka,1935,1650,1451,199,484,2314,2111,1902,209,412
12,Kerala,1017,368,358,10,659,991,787,772,15,219
13,Madhya Pradesh,1421,454,386,68,1035,1772,1772,1084,688,688
14,Maharashtra,2162,1845,1709,136,453,2167,2299,1664,635,503
15,Manipur,88,38,30,8,58,82,79,73,6,9
16,Meghalaya,125,137,134,3,0,150,180,195,0,0
17,Mizoram,66,69,31,38,35,66,0,67,0,0
18,Nagaland,108,45,45,0,63,136,80,105,0,31
19,Odisha,1513,344,311,33,1202,1607,1138,995,143,612
20,Punjab,600,747,600,147,0,481,658,426,232,55
21,Rajasthan,2039,2153,2065,88,0,2829,3349,2268,1081,561
22,Sikkim,28,36,32,4,0,26,41,46,0,0
23,Tamil Nadu,1415,1024,861,163,554,1804,2013,1598,415,206
24,Telangana,0,0,0,0,0,623,677,461,216,162
25,Tripura,83,55,43,12,40,128,0,135,0,0
26,Uttarakhand,269,90,32,58,237,581,184,111,73,470
27,Uttar Pradesh,4046,0,0,0,0,3994,3479,2359,1120,1635
28,West Bengal,1268,427,341,86,927,1257,1729,899,830,358
29,A& N Islands,24,24,24,0,0,26,27,24,3,2
30,Chandigarh,1,2,2,0,0,0,0,0,0,0
31,D & N Haveli,7,7,7,0,0,15,20,20,0,0
32,Daman & Diu,4,4,4,0,0,,,,,
33,Delhi,8,8,5,3,3,5,7,6,1,0
34,Jammu & Kashmir,404,395,395,0,9,942,786,643,143,299
35,Ladakh,0,0,0,0,0,39,58,54,4,0
36,Lakshadweep,7,8,7,1,0,7,15,15,0,0
37,Puducherry,43,20,20,0,23,27,30,29,1,0
