S.No.,State/UT,Required 2005,Sanctioned 2005,In Position 2005,Vacant 2005,Shortfall 2005,Required 2023,Sanctioned 2023,In Position 2023,Vacant 2023,Shortfall 2023
1,Andhra Pradesh,1570,2497,2137,360,0,1145,2313,2293,20,0
2,Arunachal Pradesh,85,78,78,0,7,127,136,136,0,0
3,Assam,610,0,0,0,0,920,1686,1281,405,0
4,Bihar,1648,0,0,0,0,1519,4505,2945,1560,0
5,Chhattisgarh,517,1034,628,406,0,773,1011,585,426,188
6,Goa,19,56,53,3,0,21,105,97,8,0
7,Gujarat,1070,1070,848,222,222,1483,1893,1558,335,0
8,Haryana,408,862,862,0,0,384,801,584,217,0
9,Himachal Pradesh,439,354,467,0,0,549,660,545,115,4
10,Jharkhand,561,0,0,0,0,308,285,285,23,23
11,Karnataka,1681,2237,2041,196,0,2132,2392,2052,340,80
12,Kerala,911,1345,949,396,0,780,1609,1525,84,0
13,Madhya Pradesh,1192,1278,839,439,353,1440,1946,1404,542,36
14,Maharashtra,1780,3157,3158,0,0,1906,4926,4065,861,0
15,Manipur,72,95,67,28,5,74,265,214,51,0
16,Meghalaya,101,127,123,4,0,122,189,180,9,0
17,Mizoram,57,57,35,22,22,57,0,52,0,5
18,Nagaland,87,53,53,0,34,128,103,123,0,5
19,Odisha,1282,1353,1353,0,0,1277,1321,916,405,361
20,Punjab,484,646,373,273,111,397,586,411,175,0
21,Rajasthan,1713,1517,1506,11,207,2179,2622,2236,386,0
22,Sikkim,24,48,48,0,0,24,37,36,1,0
23,Tamil Nadu,1380,3806,2257,1549,0,1419,2934,2594,340,0
24,Telangana,0,0,0,0,0,594,1188,757,431,0
25,Tripura,73,161,152,9,0,110,0,235,0,0
26,Uttarakhand,225,272,182,90,43,532,619,486,133,46
27,Uttar Pradesh,3660,0,0,0,0,3055,4448,2827,1621,228
28,West Bengal,1173,1560,1319,241,0,910,1405,1247,158,0
29,A& N Islands,20,36,36,0,0,22,53,50,3,0
30,Chandigarh,0,0,0,0,0,0,0,0,0,0
31,D & N Haveli,6,6,6,0,0,12,22,22,0,0
32,Daman & Diu,3,5,5,0,0,0,0,0,0,0
33,Delhi,8,31,23,8,0,5,19,16,3,0
34,Jammu & Kashmir,334,668,643,25,0,890,1677,1030,647,0
35,Ladakh,0,0,0,0,0,32,116,61,55,0
36,Lakshadweep,4,4,4,0,0,4,12,12,0,0
37,Puducherry,39,63,63,0,0,24,24,41,0,0
