S.No.,State/UT,Doctors/Medical Officers at PHC March 2022,Doctors/Medical Officers at PHC March 2023,Total Specialists at CHC March 2022,Total Specialists at CHC March 2023
1,Andhra Pradesh,2048,2293,264,503
2,Arunachal Pradesh,129,136,11,8
3,Assam,1381,1281,179,131
4,Bihar,1538,2945,322,209
5,Chhattisgarh,491,585,66,82
6,Goa,66,97,2,2
7,Gujarat,1692,1558,127,166
8,Haryana,591,584,33,23
9,Himachal Pradesh,501,545,18,13
10,Jharkhand,285,285,207,207
11,Karnataka,2078,2052,263,273
12,Kerala,1503,1525,48,56
13,Madhya Pradesh,1631,1404,66,67
14,Maharashtra,3239,4065,313,337
15,Manipur,308,214,18,10
16,Meghalaya,171,180,5,4
17,Mizoram#,57,52,0,0
18,Nagaland,130,123,9,2
19,Odisha,990,916,306,253
20,Punjab,418,411,151,55
21,Rajasthan,2150,2236,525,510
22,Sikkim,38,36,0,0
23,Tamil Nadu,2722,2594,249,227
24,Telangana,802,757,98,37
25,Tripura,236,235,3,4
26,Uttarakhand,483,486,36,46
27,Uttar Pradesh,2890,2827,918,976
28,West Bengal,975,1247,97,74
29,A& N Islands,50,50,4,4
30,Chandigarh,0,0,0,0
31,D & N Haveli and Daman & Diu,16,22,0,0
32,Delhi,16,16,0,0
33,Jammu & Kashmir,904,1030,127,116
34,Ladakh,54,61,12,9
35,Lakshadweep,12,12,8,8
36,Puducherry,45,41,0,1
