S.No.,State/UT,Required 2005,Sanctioned 2005,In Position 2005,Vacant 2005,Shortfall 2005,Required 2023,Sanctioned 2023,In Position 2023,Vacant 2023,Shortfall 2023
1,Andhra Pradesh,2718,2309,2053,256,665,2111,5393,4789,604,0
2,Arunachal Pradesh,302,105,105,0,197,519,635,635,0,0
3,Assam,1310,0,0,0,0,2152,3869,3263,606,0
4,Bihar,2355,0,0,0,0,3437,7697,3748,3949,0
5,Chhattisgarh,1329,601,540,61,789,1935,3907,3195,712,0
6,Goa,54,129,119,10,0,28,113,112,1,0
7,Gujarat,2974,2769,1453,1316,1521,3933,4541,4128,413,0
8,Haryana,912,1530,1160,370,0,1084,2713,1961,752,0
9,Himachal Pradesh,901,1540,1259,281,0,1235,627,371,256,864
10,Jharkhand,890,0,0,0,0,1624,1791,1515,276,109
11,Karnataka,3459,3229,3100,129,359,3406,5249,5617,0,0
12,Kerala,1653,2811,2578,233,0,2257,3188,2902,286,0
13,Madhya Pradesh,2795,908,902,6,1893,3764,4786,4919,0,0
14,Maharashtra,4454,2766,2575,191,1879,3733,4496,3412,1084,321
15,Manipur,184,83,62,21,122,130,253,230,23,0
16,Meghalaya,269,355,263,92,6,318,714,791,0,0
17,Mizoram,120,270,122,148,0,120,0,197,0,0
18,Nagaland,234,520,520,0,0,184,193,252,0,0
19,Odisha,2899,2040,637,20,2262,3587,5121,2129,2992,1458
20,Punjab,1296,697,640,57,656,985,2018,1114,904,0
21,Rajasthan,3995,9891,8425,1466,0,6729,11602,9581,2021,0
22,Sikkim,52,45,45,0,7,38,142,153,0,0
23,Tamil Nadu,1625,167,167,0,1458,4114,8845,7729,1116,0
24,Telangana,0,0,0,0,0,797,1739,1377,362,0
25,Tripura,143,125,274,0,0,236,0,694,0,0
26,Uttarakhand,533,145,129,16,404,875,718,505,213,370
27,Uttar Pradesh,6362,0,0,0,0,9628,12556,7020,5536,2608
28,West Bengal,1838,1901,1479,422,359,3339,5766,5631,135,0
29,A& N Islands,48,108,108,0,0,50,158,151,7,0
30,Chandigarh,7,13,13,0,0,0,0,0,0,0
31,D & N Haveli,13,12,10,2,3,33,105,102,3,0
32,Daman & Diu,10,12,12,0,0,,,,,
33,Delhi,8,10,4,6,4,5,6,6,0,0
34,Jammu & Kashmir,824,244,68,176,756,1254,1108,836,272,418
35,Ladakh,0,0,0,0,0,81,88,82,6,0
36,Lakshadweep,25,13,13,0,12,25,46,46,0,0
37,Puducherry,67,96,95,1,0,45,102,147,0,0
