S.No.,State/UT,Required 2005,Sanctioned 2005,In Position 2005,Vacant 2005,Shortfall 2005,Required 2023,Sanctioned 2023,In Position 2023,Vacant 2023,Shortfall 2023
1,Andhra Pradesh,1734,1704,1637,67,97,1283,1380,1298,82,0
2,Arunachal Pradesh,116,31,31,0,85,183,87,87,0,96
3,Assam,710,0,0,0,0,1096,1327,1211,116,0
4,Bihar,1749,0,0,0,0,1793,2252,879,1373,914
5,Chhattisgarh,633,749,467,282,166,939,1112,824,288,115
6,Goa,24,28,27,1,0,22,46,41,5,0
7,Gujarat,1342,1413,807,606,535,1833,1909,1676,233,157
8,Haryana,480,480,464,16,16,484,599,324,275,160
9,Himachal Pradesh,505,505,375,130,130,647,731,578,153,69
10,Jharkhand,608,0,0,0,0,496,752,229,267,267
11,Karnataka,1935,1935,1880,55,55,2314,2273,1504,769,810
12,Kerala,1017,1038,858,180,159,991,1250,1204,46,0
13,Madhya Pradesh,1421,1419,216,1203,1205,1772,1772,1084,688,688
14,Maharashtra,2162,2256,2055,201,107,2167,2547,2041,506,126
15,Manipur,88,111,88,23,0,82,119,117,2,0
16,Meghalaya,125,145,121,24,4,167,167,180,0,0
17,Mizoram,66,69,35,34,31,66,0,35,0,31
18,Nagaland,108,85,85,0,23,136,74,86,0,50
19,Odisha,1513,2040,1984,56,0,1607,1985,1647,338,0
20,Punjab,600,854,811,43,0,481,816,608,208,0
21,Rajasthan,2039,2375,2355,20,0,2829,2553,1306,1247,1523
22,Sikkim,28,28,3,25,25,26,20,22,0,4
23,Tamil Nadu,1415,1440,1252,188,163,1804,1907,1453,454,351
24,Telangana,0,0,0,0,0,623,682,523,159,100
25,Tripura,83,47,63,0,20,128,0,154,0,0
26,Uttarakhand,269,293,281,12,0,581,607,529,78,52
27,Uttar Pradesh,4046,0,0,0,0,3994,5456,4702,754,0
28,West Bengal,1268,1438,1231,207,37,1257,1559,1377,182,0
29,A& N Islands,24,28,28,0,0,26,41,35,6,0
30,Chandigarh,1,6,6,0,0,0,0,0,0,0
31,D & N Haveli,7,8,8,0,0,15,18,18,0,0
32,Daman & Diu,4,4,4,0,0,,,,,
33,Delhi,8,13,11,2,0,5,4,3,1,2
34,Jammu & Kashmir,404,456,456,0,0,942,1144,853,291,89
35,Ladakh,0,0,0,0,0,39,51,54,0,0
36,Lakshadweep,7,11,11,0,0,7,15,13,2,0
37,Puducherry,43,63,58,5,0,27,28,28,0,0
