S.No.,State/UT,Required 2005,Sanctioned 2005,In Position 2005,Vacant 2005,Shortfall 2005,Required 2023,Sanctioned 2023,In Position 2023,Vacant 2023,Shortfall 2023
1,Andhra Pradesh,164,161,140,21,24,138,140,99,41,39
2,Arunachal Pradesh,31,22,22,0,9,56,18,18,0,38
3,Assam,100,0,0,0,0,176,114,90,24,86
4,Bihar,101,0,0,0,0,274,173,28,145,246
5,Chhattisgarh,116,116,95,21,21,166,182,140,42,26
6,Goa,5,7,7,0,0,1,2,2,0,0
7,Gujarat,272,271,113,158,159,350,113,48,65,302
8,Haryana,72,118,106,12,0,100,88,17,71,83
9,Himachal Pradesh,66,66,54,12,12,98,48,29,19,69
10,Jharkhand,47,0,0,0,0,188,188,120,68,68
11,Karnataka,254,51,30,21,224,182,143,112,31,70
12,Kerala,106,17,16,1,90,211,17,14,3,197
13,Madhya Pradesh,229,0,0,0,0,332,332,192,140,140
14,Maharashtra,382,180,159,21,223,261,162,119,43,142
15,Manipur,16,5,5,0,11,8,2,2,0,6
16,Meghalaya,24,28,26,2,0,28,19,25,0,3
17,Mizoram,9,0,0,0,0,9,0,6,0,3
18,Nagaland,21,11,11,0,10,8,0,0,0,8
19,Odisha,231,26,8,18,223,330,144,50,94,280
20,Punjab,116,80,57,23,59,84,95,87,8,0
21,Rajasthan,326,269,269,0,57,650,767,434,333,216
22,Sikkim,4,8,5,3,0,2,2,2,0,0
23,Tamil Nadu,35,28,28,0,7,385,279,220,59,165
24,Telangana,0,0,0,0,0,29,29,11,18,18
25,Tripura,10,4,4,0,6,18,0,11,0,7
26,Uttarakhand,44,40,30,10,14,49,34,9,25,40
27,Uttar Pradesh,386,0,0,0,0,939,508,173,335,766
28,West Bengal,95,86,77,9,18,347,283,163,120,184
29,A& N Islands,4,4,4,0,0,4,4,4,0,0
30,Chandigarh,1,1,1,0,0,0,0,0,0,0
31,D & N Haveli,1,1,1,0,0,3,2,1,1,2
32,Daman & Diu,1,1,1,0,0,,,,,
33,Delhi,0,0,0,0,0,0,0,0,0,0
34,Jammu & Kashmir,70,61,61,0,9,52,234,204,30,0
35,Ladakh,0,0,0,0,0,7,28,24,4,0
36,Lakshadweep,3,3,3,0,0,3,6,6,0,0
37,Puducherry,4,4,4,0,0,3,3,3,0,0
