S.No.,State/UT,Required 2005,Sanctioned 2005,In Position 2005,Vacant 2005,Shortfall 2005,Required 2023,Sanctioned 2023,In Position 2023,Vacant 2023,Shortfall 2023
1,Andhra Pradesh,656,406,224,182,432,552,599,503,96,49
2,Arunachal Pradesh,124,4,0,4,124,224,8,8,0,216
3,Assam,400,0,0,0,0,704,0,131,0,573
4,Bihar,404,0,0,0,0,1096,1046,209,837,887
5,Chhattisgarh,464,464,18,446,446,664,617,82,535,582
6,Goa,20,14,7,7,13,4,4,2,2,2
7,Gujarat,1088,321,92,229,996,1400,459,166,293,1234
8,Haryana,288,288,49,239,239,400,93,23,70,377
9,Himachal Pradesh,264,0,0,0,0,392,0,13,0,379
10,Jharkhand,188,0,0,0,0,752,752,207,545,545
11,Karnataka,1016,843,691,152,325,728,451,273,178,455
12,Kerala,424,424,82,342,342,844,61,56,5,788
13,Madhya Pradesh,916,253,49,204,867,1328,1328,67,1261,1261
14,Maharashtra,1528,1987,1099,888,429,1044,515,337,178,707
15,Manipur,64,40,19,21,45,32,17,10,7,22
16,Meghalaya,96,1,1,0,95,112,4,4,0,108
17,Mizoram,36,0,0,0,36,36,0,0,0,36
18,Nagaland,84,0,0,0,84,32,2,0,0,30
19,Odisha,924,496,0,0,0,1320,1315,253,1062,1067
20,Punjab,464,393,226,167,238,336,298,55,243,281
21,Rajasthan,1304,811,581,230,723,2600,1702,510,1192,2090
22,Sikkim,16,16,4,12,12,8,0,0,0,8
23,Tamil Nadu,140,48,48,0,92,1540,329,227,102,1313
24,Telangana,0,0,0,0,0,116,61,37,24,79
25,Tripura,40,2,2,0,38,72,0,4,0,68
26,Uttarakhand,176,163,71,92,105,196,162,46,116,150
27,Uttar Pradesh,1544,0,0,0,0,3756,3018,976,2042,2780
28,West Bengal,380,310,133,177,247,1388,98,74,24,1314
29,A& N Islands,16,12,0,12,16,16,16,4,12,12
30,Chandigarh,4,4,4,0,0,0,0,0,0,0
31,D & N Haveli,4,2,2,0,2,12,0,0,0,12
32,Daman & Diu,4,0,0,0,4,0,0,0,0,0
33,Delhi,0,0,0,0,0,0,0,0,0,0
34,Jammu & Kashmir,280,276,142,134,138,208,220,116,104,92
35,Ladakh,0,0,0,0,0,28,37,9,28,19
36,Lakshadweep,12,0,0,0,12,12,8,8,0,4
37,Puducherry,16,4,6,0,10,12,12,1,11,11
