S. No.,State/UT,Tribal Area (Sq. Km.),Rural Area (Sq. Km.),Urban Area (Sq. Km.),Total Area (Sq. Km.),Rural %,Number of Districts,Number of Villages
1,Andhra Pradesh,14132,158856.0,4119.0,162975.0,97.47,26,17949
2,Arunachal Pradesh,0,0,0,83743.0,0,25,5485
3,Assam,18549.42,77178.12,1259.88,78438.0,98.39,33,27931
4,Bihar,0,91838.28,2324.72,94163.0,97.53,38,45410
5,Chhattisgarh,82315.23,131810.3,3381.7,135192.0,97.5,33,20587
6,Goa,163,2903.14,798.86,3702.0,78.42,2,411
7,Gujarat,35284.32,188840.46,7403.54,196244.0,96.23,33,19034
8,Haryana,0,42235.92,1976.08,44212.0,95.53,22,7602
9,Himachal Pradesh,23695.0,55402.18,270.82,55673.0,99.51,12,21253
10,Jharkhand,40795.16,77467.12,2248.88,79716.0,97.18,24,32741
11,Karnataka,20662.0,185783.46,6007.54,191791.0,96.87,31,30715
12,Kerala,0,31253.2,7598.8,38852.0,80.44,14,1666
13,Madhya Pradesh,93000.0,300505.59,7746.41,308252.0,97.49,52,55885
14,Maharashtra,50757.0,298628.75,9084.25,307713.0,97.05,36,44512
15,Manipur,0,22147.5,179.5,22327.0,99.2,16,3856
16,Meghalaya,0,22146.11,282.89,22429.0,98.74,12,7097
17,Mizoram,21081.0,20494.0,587.0,21081.0,97.22,11,871
18,Nagaland,0,16335.52,243.48,16579.0,98.53,12,1674
19,Odisha,4785.36,152355.34,3351.66,155707.0,97.85,30,52135
20,Punjab,0,47847.4,2514.6,50362.0,4.99,23,12784
21,Rajasthan,19770.15,335606.04,6632.96,342239.0,98.06,33,46863
22,Sikkim,4520.0,7057.75,38.25,7096.0,99.46,4,482
23,Tamil Nadu,2538.0,116427.97,13632.03,130060.0,89.52,38,18564
24,Telangana,16156.0,94949.0,3735.0,98684.0,96.22,33,11226
25,Tripura,7132.56,10094.12,391.88,10486.0,96.26,8,898
26,Uttarakhand,0,52581.08,901.92,53483.0,98.31,13,17319
27,Uttar Pradesh,0,233365.71,7562.29,240928.0,96.86,75,110138
28,West Bengal,32911.31,83632.59,5119.41,88752.0,94.23,23,41006
29,Andaman & Nicobar Islands,1841,8211.08,37.92,8249.0,99.54,3,560
30,Chandigarh,0,0.0,114.0,114.0,0.0,1,0
31,Dadra & Nagar Haveli and Daman & Diu,306,501.68,100.32,602.0,83.34,3,101
32,Delhi,0,326.44,1156.56,1483.0,22.01,11,222
33,Jammu & Kashmir,0,161844.1,1245.9,163090.0,99.24,20,6856
34,Ladakh,59146.0,59146.0,0.0,59146.0,100,2,248
35,Lakshadweep,0,8.05,21.95,30.0,26.83,1,27
36,Puducherry,0,335.44,154.56,490.0,68.46,4,127
