S. No.,State/UT,Total Number of CHCs functioning,Govt. Buildings,Rented Buildings,Rent Free Panchayat / Vol. Society Buildings,Buildings required to be constructed
1,Andhra Pradesh,138,138,0,0,0
2,Arunachal Pradesh,56,56,0,0,0
3,Assam,176,176,0,0,0
4,Bihar,274,274,0,0,0
5,Chhattisgarh,166,165,0,1,1
6,Goa,1,1,0,0,0
7,Gujarat,350,330,0,20,20
8,Haryana,100,97,0,3,3
9,Himachal Pradesh,98,94,2,2,4
10,Jharkhand,188,188,0,0,0
11,Karnataka,182,182,0,0,0
12,Kerala,211,211,0,0,0
13,Madhya Pradesh,332,328,1,3,4
14,Maharashtra,261,261,0,0,0
15,Manipur,8,8,0,0,0
16,Meghalaya,28,28,0,0,0
17,Mizoram,9,9,0,0,0
18,Nagaland,8,8,0,0,0
19,Odisha,330,330,0,0,0
20,Punjab,84,84,0,0,0
21,Rajasthan,650,606,4,40,44
22,Sikkim,2,2,0,0,0
23,Tamil Nadu,385,385,0,0,0
24,Telangana,29,29,0,0,0
25,Tripura,18,18,0,0,0
26,Uttarakhand,49,47,1,1,2
27,Uttar Pradesh,939,939,0,0,0
28,West Bengal,347,347,0,0,0
29,Andaman & Nicobar Islands,4,4,0,0,0
30,Chandigarh,0,0,0,0,0
31,Dadra & Nagar Haveli and Daman & Diu,3,3,0,0,0
32,Delhi,0,0,0,0,0
33,Jammu & Kashmir,52,52,0,0,0
34,Ladakh,7,7,0,0,0
35,Lakshadweep,3,3,0,0,0
36,Puducherry,3,3,0,0,0
