S. No.,State/UT,Total Number of Sub Centers,Govt. Buildings,Rented Buildings,Rent Free Panchayat / Vol. Society Buildings,Buildings required to be constructed
1,Andhra Pradesh,11070,2908,0,8162,8162
2,Arunachal Pradesh,390,372,0,18,18
3,Assam,4692,3945,633,114,747
4,Bihar,9654,3370,3636,2648,6284
5,Chhattisgarh,5138,4432,39,667,706
6,Goa,202,56,121,25,146
7,Gujarat,9149,6333,453,2363,2816
8,Haryana,2521,1524,241,756,997
9,Himachal Pradesh,2102,1658,22,422,444
10,Jharkhand,3863,2446,845,572,1417
11,Karnataka,8762,4535,2183,2044,4227
12,Kerala,4930,3685,403,842,1245
13,Madhya Pradesh,10258,8626,667,965,1632
14,Maharashtra,10740,10248,291,201,492
15,Manipur,392,318,15,59,74
16,Meghalaya,463,452,3,8,11
17,Mizoram,308,308,0,0,0
18,Nagaland,443,381,0,62,62
19,Odisha,6598,4981,1215,402,1617
20,Punjab,2857,1674,2,1181,1183
21,Rajasthan,14042,10705,839,2498,3337
22,Sikkim,148,147,1,0,1
23,Tamil Nadu,8713,6249,1767,697,2464
24,Telangana,4228,1942,1813,473,2286
25,Tripura,956,821,18,117,135
26,Uttarakhand,1779,1374,380,25,405
27,Uttar Pradesh,25723,20331,5000,392,5392
28,West Bengal,12506,8399,2588,1519,4107
29,Andaman & Nicobar Islands,124,124,0,0,0
30,Chandigarh,0,0,0,0,0
31,Dadra & Nagar Haveli and Daman & Diu,94,76,5,13,18
32,Delhi,8,1,4,3,7
33,Jammu & Kashmir,2434,824,1580,30,1610
34,Ladakh,288,230,58,0,58
35,Lakshadweep,9,6,0,3,3
36,Puducherry,55,42,13,0,13
